Latn	Name	Egyp	Phnx	Armi	Hebr	Syrc	Arab	Chrs	Samr	Ugar	Elym	Hatr	Phli	Prti	Mani	Nbat	Sogo	Sarb	Palm	Phlp	Sogd	Narb	Ethi	Grek	Brah
	Space		𐤟							𐎟										𐮙	𐽕				
ʾ	Aleph	𓃾	𐤀‎	𐡀	א	ܐ|ܰ‎	ا|ـَ	𐾰|𐾱	ࠀ	𐎀	𐿠	𐣠	𐭠	𐭀	𐫀	𐢀|𐢁	𐼁|𐼀	𐩱	𐡠	𐮀	𐼰	𐪑	አ	Αα	𑀅
b	Bet	𓉐	𐤁‎	𐡁	ב	ܒ	ب	𐾲	ࠁ	𐎁	𐿡	𐣡	𐭡	𐭁	𐫁	𐢂|𐢃	𐼃|𐼂	𐩨	𐡡	𐮁	𐼱	𐪈	በ	Ββ	𑀩
g	Gimel	𓌙	𐤂‎	𐡂	ג	ܓ|ܔ|ܓ݂‎‎	ج|غ	𐾳	ࠂ	𐎂	𐿢	𐣢	𐭢	𐭂	𐫃	𐢄	𐼄	𐩴	𐡢	𐮂	𐼲	𐪔	ገ	Γγ	𑀕
d	Daleth	𓇯	𐤃‎	𐡃	ד	ܕ|ܕ݂‎	د|ذ	𐾴	ࠃ	𐎄	𐿣	𐣣	𐭣	𐭃	𐫅	𐢅	𐼘	𐩵	𐡣	𐮃	𐽃	𐪕	ደ	Δδ	𑀥
h	He	𓀠	𐤄‎	𐡄	ה	ܗ	ه	𐾵	ࠄ	𐎅	𐿤	𐣤	𐭤	𐭄	𐫆	𐢆|𐢇	𐼆|𐼅	𐩠	𐡤	𐮄	𐼳	𐪂|𐪀	ሀ	Εε	𑀳
w	Waw	𓏲	𐤅‎	𐡅	ו	ܘ|ܽ‎	و	𐾶|𐾷	ࠅ	𐎆	𐿥	𐣥	𐭥	𐭅	𐫇	𐢈	𐼇	𐩥	𐡥	𐮅	𐼴	𐪅	ወ	(Ϝϝ), Υυ	𑀯
z	Zayin	𓏭	𐤆‎	𐡆	ז	ܙ	ز	𐾸	ࠆ	𐎇	𐿦	𐣦	𐭦	𐭆	𐫉	𐢉	𐼈	𐩹	𐡦	𐮆	𐼵	𐪘	ዘ	Ζζ	𑀚
ḥ	Het	𓉗	𐤇‎	𐡇	ח	ܚ|ܚ݂‎	ح|خ	𐾹	ࠇ	𐎈	𐿧	𐣧	𐭧	𐭇	𐫍	𐢊	𐼉	𐩢|𐩭	𐡧	𐮇	𐼶	𐪖	ሐ|ኀ	Ηη	𑀖
ṭ	Tet	𓄤	𐤈‎	𐡈	ט	ܛ|ܜ‎	ط|ظ		ࠈ	𐎉	𐿨	𐣨	𐭨	𐭈	𐫎	𐢋		𐩷	𐡨		𐽃	𐪉	ጠ	Θθ	𑀣
j	Yod	𓂝	𐤉‎	𐡉	י	ܝ|ܺ‎‎	ي	𐾺	ࠉ	𐎊	𐿩	𐣩	𐭩	𐭉	𐫏	𐢌|𐢍	𐼊	𐩺	𐡩	𐮈	𐼷	𐪚	የ	Ιι	𑀬
k	Kaf	𓂧	𐤊‎	𐡊	כ|ך	ܟ|ܟ݂‎	ك|خ	𐾻	ࠊ	𐎋	𐿪	𐣪	𐭪	𐭊	𐫐	𐢎|𐢏	𐼋	𐩫	𐡪	𐮉	𐼸	𐪋	ከ	Κκ	𑀓
l	Lamd	𓌅	𐤋‎	𐡋	ל	ܠ	ل	𐾼	ࠋ	𐎍	𐿫	𐣫	𐭫	𐭋	𐫓	𐢐|𐢑	𐼌	𐩡	𐡫	𐮊	𐼹	𐪁	ለ	Λλ	𑀮
m	Mem	𓈖	𐤌‎	𐡌	מ|ם	ܡ	م	𐾽	ࠌ	𐎎	𐿬	𐣬	𐭬	𐭌	𐫖	𐢒|𐢓	𐼍	𐩣	𐡬	𐮋	𐼺	𐪃	መ	Μμ	𑀫
n	Nun	𓆓	𐤍‎	𐡍	נ ן	ܢܢ|ܢ‎	ن	𐾾	ࠍ	𐎐	𐿭	𐣭	𐭭	𐭍	𐫗	𐢔|𐢕	𐼏|𐼎	𐩬	𐡭|𐡮	𐮌	𐼻	𐪌	ነ	Νν	𑀦
s	Samekh	𓊽	𐤎‎	𐡎	ס	ܣ	س	𐾿	ࠎ	𐎒	𐿮	𐣮	𐭮	𐭎	𐫘	𐢖	𐼑	𐩪	𐡯	𐮍	𐼼	𐪏	ሰ	Ξξ	𑀱
ʿ	Ain	𓁹	𐤏‎	𐡏	ע	ܥ	ع	𐿀	ࠏ	𐎓	𐿯	𐣯	𐭥	𐭏	𐫙	𐢗	𐼓|𐼒	𐩲	𐡰	𐮅	𐼽|𐽀	𐪒	ዐ	Οο, Ωω	𑀏
p	Pe	𓂋	𐤐‎	𐡐	פ|ף	ܒ݆‎|ܦ	پ|ف	𐿁	ࠐ	𐎔	𐿰	𐣰	𐭯	𐭐	𐫛	𐢘	𐼔	𐩰	𐡱	𐮎	𐼾	𐪐	ፐ|ፈ	Ππ	𑀧
ṣ	Sade	𓇑	𐤑‎	𐡑	צ|ץ	ܨ|ܨ̇‎	ص|ض		ࠑ	𐎕	𐿱	𐣱	𐭰	𐭑	𐫝	𐢙	𐼖|𐼕	𐩮	𐡲	𐮏	𐼿	𐪎|𐪓	ጸ|ጰ|ፀ	(Ϻϻ)	𑀘
q	Qof	Qof	𐤒‎	𐡒	ק	ܩ	ق		ࠒ	𐎖	𐿲	𐣲	𐭬	𐭒	𐫞	𐢚		𐩤	𐡳	𐮋	𐽄	𐪄	ቀ	Ϙϙ	𑀔
